"frame_name","balle_xtl","balle_ytl","balle_xbr","balle_ybr","raquette_xtl","raquette_ytl","raquette_xbr","raquette_ybr"
"000","","","","","218,63","159,98","266,75","195,47"
"005","","","","","228,26","89,01","270,96","134,12"
"010","234,51","101,58","251,95","121,43","224,04","81,79","279,38","136,53"
"015","224,65","246,6","252,92","298,33","223,44","132,32","282,39","188,86"
"020","","","","","234,27","124,5","290,21","184,04"
"025","","","","","243,29","117,28","295,02","177,43"
"030","","","","","245,7","119,08","296,23","182,84"
"035","","","","","264,95","130,51","294,42","192,47"
"040","","","","","290,21","144,95","303,44","201,49"
"045","","","","","296,83","146,15","318,48","202,09"
"050","","","","","304,65","132,92","338,33","191,26"
"055","65,25","9,01","110,96","159,38","228,26","144,35","264,95","192,47"
"060","99,53","119,68","126","156,38","163,29","151,56","214,42","197,28"
"065","108,56","58,93","129,61","79,38","130,81","126,3","175,32","167,8"
"070","76,68","9,61","108,56","56,53","75,47","20,44","155,47","86"
"075","","","","","86,3","0,59","169,31","65,55"
"080","","","","","99,53","10,81","182,54","95,02"
"085","","","","","136,83","52,92","204,2","130,51"
"090","","","","","207,2","108,26","243,29","171,41"
"095","","","","","253,52","141,94","288,41","200,29"
"100","","","","","285,4","145,55","318,48","198,48"
"105","","","","","316,68","136,53","370,21","191,86"
"110","322,69","206,9","344,35","269,46","329,91","120,29","379,83","172,01"
"115","350,96","135,32","370,81","173,22","329,91","126,9","384,04","172,62"
"120","","","","","310,66","104,04","372,01","144,95"
"125","","","","","326,9","119,68","383,44","170,81"
"130","","","","","328,11","131,11","384,65","187,05"
"135","","","","","324,5","143,74","372,01","194,87"
"140","","","","","299,23","158,18","338,93","211,11"
"145","","","","","276,38","165,4","311,86","213,52"
"150","","","","","261,94","160,59","290,81","205,1"
"155","","","","","290,21","155,77","327,5","200,29"
"160","506,15","181,04","555,47","260,44","347,35","157,58","389,46","199,68"
"165","469,46","132,92","488,11","158,18","381,04","148,56","412,32","189,46"
"170","455,02","92,01","468,26","108,86","420,14","104,04","464,04","144,95"
"175","518,18","0","545,85","27,65","420,74","45,1","485,7","105,85"
"180","","","","","394,27","80,59","454,42","122,69"
"185","","","","","361,19","122,69","413,52","172,62"
"190","","","","","330,51","146,75","374,42","194,27"
"195","","","","","307,05","156,98","343,14","201,49"
"200","","","","","291,41","152,17","330,51","198,48"
"205","","","","","320,89","152,77","360,59","199,68"
"210","497,73","265,85","518,78","293,52","375,02","161,79","417,13","205,1"
"215","471,86","155,17","486,3","171,41","417,13","149,76","453,22","188,86"
"220","541,64","63,14","590,96","96,83","437,58","103,44","491,71","154,57"
"225","","","","","407,5","92,62","456,83","149,16"
"230","","","","","386,45","117,28","432,17","164,2"
"235","","","","","369,01","140,14","414,12","190,66"
"240","","","","","348,56","153,97","391,26","203,29"
"245","","","","","332,92","156,98","372,62","203,29"
"250","","","","","319,08","166","359,98","218,33"
"255","","","","","298,03","219,53","331,71","270,06"
"395","","","","","217,07","254,36","255,56","277,22"
"400","","","","","187,35","230,36","234,27","277,28"
"405","","","","","175,32","211,71","227,05","257,43"
"410","","","","","183,14","208,11","233,67","252,01"
"415","","","","","187,95","206,9","242,09","250,21"
"420","","","","","185,55","195,47","235,47","236,98"
"425","","","","","187,95","180,44","231,86","226,15"
"430","243,89","0","279,38","66,75","201,79","192,47","245,7","232,17"
"435","249,91","200,29","272,77","253,22","226,45","188,26","263,74","227,35"
"440","265,55","108,26","282,99","127,5","227,65","144,35","276,38","186,45"
"445","271,56","43,29","290,81","82,99","233,07","60,14","292,62","117,28"
"450","","","","","239,08","27,05","305,25","98,03"
"455","","","","","259,53","56,53","323,29","128,11"
"460","","","","","301,04","115,47","332,32","177,43"
"465","","","","","305,85","157,58","341,34","208,11"
"470","","","","","309,46","165,4","342,54","217,13"
"475","","","","","316,68","156,38","353,97","206,3"
"480","","","","","330,51","150,96","378,03","194,27"
"485","367,8","256,83","388,86","295,92","337,13","154,57","378,03","197,88"
"490","357,58","145,55","375,62","165,4","346,15","144,95","392,47","187,65"
"495","378,03","0","399,08","20,44","326,9","80,59","379,83","124,5"
"500","","","","","317,28","94,42","374,42","146,75"
"505","","","","","319,68","123,29","379,23","176,23"
"510","","","","","326,9","144,95","375,62","191,86"
"515","","","","","320,29","159,38","357,58","210,51"
"520","","","","","296,83","167,8","330,51","211,71"
"525","","","","","298,63","157,58","322,09","200,89"
"530","462,84","69,16","537,43","190,06","332,92","158,78","379,23","202,09"
"535","415,92","173,22","437,58","199,08","355,17","152,77","393,07","195,47"
"540","406,3","135,32","423,74","150,96","379,83","116,68","431,56","156,98"
"545","","","","","365,4","76,38","422,54","129,31"
"550","","","","","340,14","110,06","397,28","164,8"
"555","","","","","319,68","148,56","374,42","199,68"
"560","","","","","304,65","162,39","344,35","206,9"
"565","","","","","285,4","163,59","320,29","205,7"
"570","","","","","298,03","155,77","331,11","203,29"
"575","","","","","338,93","162,99","379,23","205,7"
"580","620,44","153,97","640","197,28","389,46","161,19","427,95","202,09"
"585","557,28","184,04","576,53","214,12","424,95","147,35","448,41","186,45"
"590","536,83","112,47","551,86","125,1","484,5","108,26","534,42","150,36"
"595","","","","","477,28","54,12","529,01","114,27"
"600","","","","","433,97","70,36","477,28","129,31"
"605","","","","","405,7","107,05","447,2","159,98"
"610","","","","","369,61","144,35","406,9","188,86"
"615","","","","","320,89","172,01","350,96","212,32"
"620","","","","","264,95","182,84","295,62","228,56"
"625","","","","","239,08","183,44","281,79","226,15"
"630","405,7","61,34","451,41","149,16","248,71","194,27","291,41","235,77"
"635","355,77","187,65","375,62","223,14","297,43","184,04","332,32","218,33"
"640","341,94","113,07","359,38","135,32","320,89","115,47","370,21","156,98"
"645","406,3","7,2","436,38","41,49","336,53","66,75","390,66","128,11"
"650","","","","","353,37","80,59","400,29","146,75"
"655","","","","","378,63","119,68","419,53","175,02"
"735","","","","","211,65","165,34","253,76","214,06"
"740","","","","","281,79","145,55","311,86","208,11"
"750","","","","","149,46","120,89","195,17","180,44"
"755","","","","","130,81","205,7","177,13","237,58"
"770","","","","","222,24","126,9","295,62","155,77"
"775","","","","","323,29","135,92","374,42","178,03"
"780","","","","","329,31","120,29","382,84","154,57"
"785","","","","","331,11","119,68","377,43","155,77"
"790","","","","","324,5","126,9","375,62","169,01"
"795","","","","","329,31","120,89","379,23","158,78"
"800","","","","","326,3","110,66","378,03","156,38"
"805","","","","","329,31","122,69","379,83","164,2"
"810","","","","","334,12","122,69","385,25","165,4"
"815","","","","","336,53","111,86","386,45","155,17"
"820","","","","","341,94","125,1","383,44","162,99"
"825","","","","","341,34","130,51","390,66","168,41"
"830","","","","","344,95","116,07","391,86","153,37"
"835","","","","","344,35","122,69","389,46","156,98"
"840","","","","","347,95","127,5","394,27","167,2"
"845","","","","","347,95","116,68","394,27","153,37"
"850","","","","","346,15","116,07","396,07","156,38"
"855","","","","","345,55","125,1","397,28","162,99"
"860","","","","","348,56","123,89","401,49","161,79"
"865","","","","","351,56","117,28","403,89","158,18"
"870","","","","","349,76","129,91","402,09","165,4"
"875","","","","","350,96","129,31","403,29","167,2"
"880","","","","","352,17","124,5","403,29","165,4"
